nose,L eye,R eye,mouth,L chin jaw ,R chin jaw ,IQ,ID
0.021075,0.029933,0.591936,0.220525,0.001222,0.006720,51.000000,6713.000000
0.002319,0.000000,0.000580,0.017681,0.009855,0.005797,57.000000,6718.000000
0.289641,0.004358,0.015421,0.024472,0.008716,0.002347,60.000000,3548.000000
0.020784,0.010562,0.020784,0.002385,0.001022,0.000681,61.000000,5080.000000
0.152047,0.007797,0.010916,0.309162,0.036647,0.024172,70.000000,10679.000000
0.010534,0.099323,0.022573,0.001505,0.007524,0.002257,71.000000,15095.000000
0.027704,0.159546,0.196929,0.013351,0.003672,0.001669,73.000000,3533.000000
0.045125,0.002635,0.012516,0.085968,0.010870,0.018775,75.000000,1747.000000
0.434864,0.007754,0.042184,0.116625,0.003412,0.004342,76.000000,242.000000
0.006487,0.000499,0.050399,0.015968,0.001996,0.012974,78.000000,10680.000000
0.124574,0.009606,0.032228,0.139758,0.004338,0.003099,81.000000,16503.000000
0.184764,0.107163,0.409892,0.082149,0.000284,0.000853,81.000000,3591.000000
0.011787,0.005734,0.004141,0.036636,0.001911,0.015291,87.000000,4145.000000
0.062792,0.044548,0.061943,0.008061,0.001273,0.000424,87.000000,10640.000000
0.033595,0.079749,0.096389,0.002512,0.001256,0.000314,92.000000,5004.000000
0.096837,0.132761,0.083171,0.028114,0.001171,0.001171,103.000000,7661.000000
0.042014,0.580556,0.005903,0.014236,0.004167,0.000694,104.000000,1182.000000
0.007992,0.091242,0.011322,0.005661,0.000333,0.000333,112.000000,3618.000000
0.004639,0.008247,0.152062,0.001546,0.004124,0.020619,116.000000,165.000000
0.206166,0.011561,0.011561,0.089595,0.006744,0.018304,119.000000,1364.000000
