nose,Glabella,eye-left,eyebrow - left,eye-right,eyebrow - right,mouth,Chin,jaw-left,Chin,jaw-right,IQ,ID
0.015272,0.005803,0.029627,0.000305,0.591631,0.000305,0.220525,0.000000,0.000000,0.001222,0.006720,51.000000,6713.000000
0.002319,0.000000,0.000000,0.000000,0.000580,0.000000,0.017681,0.005217,0.000000,0.009855,0.000580,57.000000,6718.000000
0.247402,0.042239,0.004023,0.000335,0.014750,0.000670,0.024472,0.001341,0.006705,0.002011,0.001006,60.000000,3548.000000
0.006474,0.014310,0.002044,0.008518,0.007155,0.013629,0.002385,0.000681,0.001022,0.000000,0.000000,61.000000,5080.000000
0.149318,0.002729,0.004288,0.003509,0.008187,0.002729,0.309162,0.009747,0.001949,0.034698,0.014425,70.000000,10679.000000
0.003762,0.006772,0.077502,0.021821,0.018059,0.004515,0.001505,0.000000,0.007524,0.000000,0.002257,71.000000,15095.000000
0.012684,0.015020,0.020694,0.138852,0.047397,0.149533,0.013351,0.001001,0.002670,0.001001,0.000668,73.000000,3533.000000
0.039855,0.005270,0.000988,0.001647,0.009223,0.003294,0.085968,0.003953,0.001647,0.009223,0.014822,75.000000,1747.000000
0.362593,0.072270,0.002792,0.004963,0.030087,0.012097,0.116625,0.003412,0.000931,0.002481,0.000931,76.000000,242.000000
0.004491,0.001996,0.000000,0.000499,0.035928,0.014471,0.015968,0.001497,0.000000,0.001996,0.011477,78.000000,10680.000000
0.114038,0.010536,0.008677,0.000930,0.030059,0.002169,0.139758,0.002479,0.004338,0.000000,0.000620,81.000000,16503.000000
0.074190,0.110574,0.093519,0.013644,0.372655,0.037237,0.082149,0.000000,0.000000,0.000284,0.000853,81.000000,3591.000000
0.009557,0.002230,0.004141,0.001593,0.003823,0.000319,0.036636,0.014654,0.001593,0.000319,0.000637,87.000000,4145.000000
0.036063,0.026729,0.005940,0.038608,0.015698,0.046245,0.008061,0.000000,0.001273,0.000000,0.000424,87.000000,10640.000000
0.013501,0.020094,0.075039,0.004710,0.095447,0.000942,0.002512,0.000314,0.001256,0.000000,0.000000,92.000000,5004.000000
0.058571,0.038266,0.019524,0.113237,0.053495,0.029676,0.028114,0.000000,0.001171,0.000000,0.001171,103.000000,7661.000000
0.034028,0.007986,0.115972,0.464583,0.001736,0.004167,0.014236,0.000347,0.004167,0.000000,0.000347,104.000000,1182.000000
0.007326,0.000666,0.072927,0.018315,0.008991,0.002331,0.005661,0.000333,0.000000,0.000333,0.000000,112.000000,3618.000000
0.003093,0.001546,0.005155,0.003093,0.054124,0.097938,0.001546,0.000000,0.004124,0.000000,0.020619,116.000000,165.000000
0.202954,0.003211,0.011561,0.000000,0.010918,0.000642,0.089595,0.015735,0.005459,0.001285,0.002569,119.000000,1364.000000
